"Source:","/Users/jessefryar/Library/Mobile Documents/com~apple~CloudDocs/Documents/projects/truck/electrical/cameras/C3I2/kicad/C3I2.kicad_sch"
"Date:","2023 December 15, Friday 18:42:20"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","37"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","47pF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C3, C4, C5, C6, C8, C9, C12, C14, C15","9","0.1uF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"C7, C10, C11, C13","4","10nF","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor","",""
"D1","1","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"J1","1","1-84952-5","1-84952-5","components:conn15_1-84952-5_TEC","","",""
"J2, J3","2","PJRAN1X1U04X","PJRAN1X1U04X","components:SWITCHCRAFT_PJRAN1X1U04X","","",""
"JP1, JP2, JP3, JP4","4","Jumper_2_Open","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, 2-pole, open","",""
"R1, R3","2","24","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R4","2","51","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R5, R6, R7, R8","4","100k","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R9, R10","2","2.2k","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"U1","1","ADV7280BCPZ-M-RL","ADV7280BCPZ-M-RL","components:CP_32_12_ADI-M","","",""
"U2, U3","2","MIC5504-1.8YM5-TR","MIC5504-1.8YM5-TR","components:SOT23-5LD-PL-1_MCH","","",""
"Y1","1","28.63636MHz","Crystal","components:XTAL_ABM8-28.63636MHZ-B2-T","Two pin crystal","",""
